,Jan_Week_1,Jan_Week_2,Jan_Week_3,Jan_Week_4,Jan_Week_5,Feb_Week_1,Feb_Week_2,Feb_Week_3,Feb_Week_4,Mar_Week_1,Mar_Week_2,Mar_Week_3,Mar_Week_4,Apr_Week_1,Apr_Week_2,Apr_Week_3,Apr_Week_4,Apr_Week_5,May_Week_1,May_Week_2,May_Week_3,May_Week_4,Jun_Week_1,Jun_Week_2,Jun_Week_3,Jun_Week_4,Jul_Week_1,Jul_Week_2,Jul_Week_3,Jul_Week_4,Aug_Week_1,Aug_Week_2,Aug_Week_3,Aug_Week_4,Sep_Week_1,Sep_Week_2,Sep_Week_3,Sep_Week_4,Oct_Week_1,Oct_Week_2,Oct_Week_3,Oct_Week_4,Nov_Week_1,Nov_Week_2,Nov_Week_3,Nov_Week_4,Dec_Week_1,Dec_Week_2,Dec_Week_3,Dec_Week_4,Jan_Week_1,Jan_Week_2,Jan_Week_3,Jan_Week_4,Feb_Week_1,Feb_Week_2,Feb_Week_3,Feb_Week_4,Mar_Week_1,Mar_Week_2,Mar_Week_3,Mar_Week_4,Apr_Week_1,Apr_Week_2,Apr_Week_3,Apr_Week_4,May_Week_1,May_Week_2,May_Week_3,May_Week_4,Jun_Week_1,Jun_Week_2,Jun_Week_3,Jun_Week_4,Jul_Week_1,Jul_Week_2,Jul_Week_3,Jul_Week_4
无反弹国内航线旅客量同比变化(%),-2.3,2.4,-2.3,-22.5,-67,-86,-91,-90.5,-88,-85,-86,-86,-88,-87,-90,-90.5,-89.5,-82.5,-79,-70,-68,-60.5,-55,-55,-79,-84.5,-90.5,-83,-75,-68,-62,-58,-53.5,-49,-47,-45,-44,-41.5,-36.5,-35,-38,-37.2,-36.4,-35.6,-34.8,-34,-34,-33.2,-32.4,-31.6,-31.3,-30.5,-29.7,-28.9,-27.8,-26.5,-25.7,-25.1,-24.5,-23.9,-23.3,-22.7,-22.1,-21.1,-19.6,-17.6,-15.6,-13.6,-11.6,-9.6,-7.6,-5.6,-3.6,-1.6,0.4,1.9,2.9,3.9
无反弹国际航线旅客量同比变化(%),17,12,4.5,-18.5,-44.5,-66,-84,-86,-85,-85.5,-86,-91,-99.5,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.8,-99.7,-99.7,-99.6,-99.5,-99.5,-99.5,-99.4,-99.3,-99.3,-99.2,-99.1,-99,-99,-98.9,-98.9,-98.8,-98.7,-98.7,-98.7,-98.6,-98.6,-98.5,-98.5,-98.4,-98.3,-98.2,-98.2,-98.1,-98,-97.8,-97.6,-97.4,-97.2,-97,-96.9,-96.9,-96.8,-96.7,-94.5,-92.5,-90,-87.5,-85,-82.5,-80,-78.5,-76.5,-74.5,-73,-71.5,-70,-68.5,-67,-65.5,-63.5,-61.5,-59,-57.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
暑期反弹国内航线旅客量同比变化(%),-2.3,2.4,-2.3,-22.5,-67,-86,-91,-90.5,-88,-85,-86,-86,-88,-87,-90,-90.5,-89.5,-82.5,-79,-70,-68,-60.5,-55,-55,-79,-84.5,-90.5,-83,-75,-68,-62,-80.5,-90,-87.5,-78,-69.5,-67.5,-65.5,-47.5,-45.5,-43,-42,-41.5,-41,-40.2,-39.4,-38.6,-37.8,-37,-35.8,-35,-34.2,-34.2,-33.5,-32,-31.2,-30.4,-29.6,-29.3,-28.5,-27.4,-26.7,-25.7,-24.9,-24,-23.3,-22.6,-21.9,-21.2,-20.5,-19.8,-19.1,-18.4,-16.5,-14.5,-11.5,-7,-2.5
暑期反弹国际航线旅客量同比变化(%),17,12,4.5,-18.5,-44.5,-66,-84,-86,-85,-85.5,-86,-91,-99.5,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.8,-99.7,-99.7,-99.6,-99.5,-99.5,-99.5,-99.4,-99.3,-99.3,-99.2,-99.1,-99.5,-99.9,-99.9,-99.8,-99.8,-99.7,-99.7,-99.6,-99.6,-99.5,-99.5,-99.4,-99.3,-99.3,-99.2,-99.2,-99.1,-99,-98.7,-98.5,-98.3,-98.1,-98,-97.9,-97.8,-97.8,-96.9,-96,-94,-92,-90,-88.5,-87,-85.5,-83.5,-81.5,-79.5,-77.5,-77.5,-76,-74.5,-73,-71.5,-70.5,-69.5,-68,-66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冬季反弹国内航线旅客量同比变化(%),-2.3,2.4,-2.3,-22.5,-67,-86,-91,-90.5,-88,-85,-86,-86,-88,-87,-90,-90.5,-89.5,-82.5,-79,-70,-68,-60.5,-55,-55,-79,-84.5,-90.5,-83,-75,-68,-62,-58,-53.5,-49,-47,-45,-44,-41.5,-36.5,-35,-38,-37.2,-36.4,-35.6,-34.8,-34,-34,-33.2,-32.4,-31.6,-30.8,-40.5,-73.5,-82.5,-83.5,-83,-82.5,-80,-77,-75.5,-73,-73,-71.5,-69.5,-67,-65,-63,-61,-59,-56.5,-54,-51.5,-48.5,-45.5,-42,-38.5,-34,-28
冬季反弹国际航线旅客量同比变化(%),17,12,4.5,-18.5,-44.5,-66,-84,-86,-85,-85.5,-86,-91,-99.5,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.8,-99.7,-99.7,-99.6,-99.5,-99.5,-99.5,-99.4,-99.3,-99.3,-99.2,-99.1,-99,-99,-98.9,-98.9,-98.8,-98.7,-98.7,-98.7,-98.6,-98.6,-98.5,-98.5,-98.4,-98.3,-98.2,-98.2,-98.1,-98,-98.3,-98.5,-98.9,-99.5,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.8,-99.7,-99.6,-99.3,-99,-98.7,-98.4,-98.1,-97.8,-97.3,-96.8,-96.1,-95.4,-94.7,-93.5,-91.5
